ID,Points,Label
251,1201,"Krabby"
252,2520,"tankiel"
253,953,"Rocky Wellstack"
254,707,"ScarryHarry"
255,4877,"ersgutertee"
256,706,"GhostJTJ"
257,723,"Arbok"
258,5577,"Matrose l_I"
259,1225,"Hades"
260,5828,"Phaturia"
261,1405,"SaphirMagic"
262,7335,"qwerty"
263,859,"<3"
264,1128,"unsigned char*"
265,6270,"gB. | FeIs"
266,1772,"Iהferהo"
267,6660,"VL100"
268,1668,"-AW-»©ybêr«"
269,679,"Olo"
270,1413,"Fire"
271,4122,"JabberWock"
272,1900,"MilkaTee"
273,741,"luis"
274,3800,"Unknown ~"
275,9873,"FiL"
276,3546,"Darth_gato"
277,1403,"|HudZ|"
278,3532,"aura"
279,2495,"Riod"
280,1471,"Pandore"
281,683,"slasknaben"
282,1348,"CookieMichal"
283,4182,"Horst"
284,6921,"Juandissimo"
285,2631,"Hallowed1986"
286,2648,"starvoiter"
287,5121,"ggSimba"
288,1230,"Ghost"
289,1278,"666"
290,917,"NoNameImGame"
291,2259,"Talatin"
292,5266,"BsRobert"
293,1200,"Naixn"
294,2751,"Emm"
295,2261,"oink"
296,1013,"Micro"
297,3751,"Ronex"
298,2256,"Prixar"
299,6792,"timakro"
300,762,"Líme.ftw!"
301,966,"Zushi"
302,11070,"Kati"
303,18070,"<BµmM>"
304,603,"Kitsu"
305,1527,"Bro"
306,1595,"Rabhib"
307,631,"Nameless"
308,1458,"snowtracer"
309,3760,"zup"
310,2815,"Skadi"
311,1372,"[ Drunk ] BoBaH"
312,6071,"gB. | Zerodin"
313,885,"Eric"
314,3506,"slow"
315,2866,"Wohoo"
316,990,"Wolf"
317,743,"gB. | Stalker"
318,3446,"nothing"
319,4183,"tèíñi94®0cK"
320,3161,"°ReVoLuTiOn°"
321,1213,"ßlµe"
322,1636,"sunshine"
323,5674,"Gloriousitirity"
324,3310,"Honky_Tonk_Man"
325,2550,"Crytikal"
326,1537,"nuXaPb"
327,1267,"s1erra"
328,790,"MµhKµh"
329,3615,"Ceearw"
330,4204,".x0r*"
331,1408,"♫samu♫"
332,1395,"dj_cooldown"
333,6870,"WhiteBULL"
334,1129,"Jeet"
335,4405,"Artich"
336,17858,"gB. | Kayumi"
337,1473,"TEErrorist"
338,2604,"Gianth"
339,4314,"pipefox"
340,8486,"Mike Litoris"
341,2481,"Shiki"
342,3230,"Kalu"
343,639,"AcE<"
344,2100,"OPX*"
345,708,"sl|LastJungle~"
346,3205,"Krabs"
347,4350,"."
348,1135,"Mr. Blue"
349,1689,"Luffy"
350,971,"Selina xP"
351,3201,"Cooper"
352,772,"SlowTee"
353,1082,"EA| Joker |L"
354,3687,"seLFiii <33"
355,656,"Nick"
356,19549,"Freezestyler"
357,797,"MR.MEYER"
358,1506,"Cans"
359,1040,"Pure Hate"
360,2154,"Black"
361,1182,"123"
362,3265,"Eagle"
363,1033,"Lance Butters"
364,3221,"TrollDad :·3"
365,1364,"Kotenok"
366,10393,"Deathman"
367,2254,"L O S T"
368,1736,",,,=^o_._o^=,,,"
369,1263,"Serj"
370,1961,"Heksze"
371,2320,"Apfel-Tee"
372,4796,"Secret"
373,945,"Brot"
374,649,"Holtik"
375,12072,"Crytek"
376,2534,"Gecko²"
377,1713,"Multau"
