Rank,Player,Points,TotalTime(Hours)
211,Eng,7167,781.89
212,Jimmy Jazz,14783,780.86
213,Night_L,15541,780.79
214,Zhady,15000,780.58
215,坎R坷,5704,779.24
216,dragon,13251,779.14
217,Bolox,9849,776.07
218,Mariac,8873,775.67
219,猪队友,6177,775.42
220,[Antee-Virus],12834,774.17
221,Ac1dBeef,3250,769.72
222,Kessყ,4034,769.69
223,stompie,8913,766.19
224,Fěng,6503,765.68
225,Dr. Jekyll,8508,762.7
226,Mike Litoris,14655,761.57
227,Joker,7669,761.12
228,Gloomy,9359,758.98
229,eujax,6361,758.38
230,CheekepoO,6193,756.75
231,rqza,17612,756.73
232,XxDarkNezZ,15376,755.49
233,K u B u,5786,754.34
234,iParano,15373,753.68
235,☯Mڶɴ3☯,16263,752.84
236,^b[Bro] flummi,16766,752.72
237,electrohock777,8828,750.23
238,쩡어링,1649,750.09
239,Teeson,14033,749.88
240,Hydra,13145,749.79
241,Miausuke,8839,749.43
242,123dd,8791,748.69
243,Flanely,7464,746.34
244,KlexMikrowelle,14572,742.63
245,Dan_cao,7343,741.54
246,Yota.,14709,741.2
247,Rorro,7395,740.6
248,Pastoer,7525,740.43
249,FeaRZ,8842,737.99
250,feiyue,4332,737.78
251,七,4494,737.64
252,Du4b,13232,736.74
253,Welf,9356,735.79
254,若非她,7697,735.64
255,QzBoY,18229,735.35
256,Areum,6717,733.94
257,救援-萌新,7719,733.38
258,Mafer,6208,733.1
259,18m/s,8132,729.95
260,ReD,10208,729.41
261,KickerUebok,272,723.56
262,thekid36,3481,722.72
263,qwerty,7963,721.43
264,Juicy,3666,721.0
265,simple,11362,719.18
266,Bennji,8696,718.23
267,风子,5547,717.56
268,jao,11467,716.56
269,可鲁克吖,5997,715.05
270,Ryu,15469,714.49
271,daverck,3376,713.62
272,coradax,17869,712.18
273,|Ŗaþŧurę|,15632,710.8
274,Hakuna Matata,4744,710.02
275,Bijumiro,5676,709.82
276,umbrella,9049,708.35
277,Inner peace,15782,708.33
278,上头,4586,708.17
279,Patiga,10452,705.69
280,J̷ɛe̷a̷nd,7677,705.45
281,Radoo-'SaT,10221,702.24
282,白墨,7674,701.53
283,CrashtimeHD,6806,699.95
284,Cerberus,13806,698.16
285,tortilladmaiz,5138,698.09
286,JabberWock,4788,697.66
287,iF' N!ce,7649,697.46
288,DaGiese :>,20978,696.88
289,SileNt ▪,4064,696.51
290,Zwelf,13150,695.85
291,ByEdGaR,8573,695.81
292,XX,7050,695.72
293,美味,7819,694.7
294,cris,7977,694.09
295,Phoenix,11752,693.76
296,Ske,19021,691.67
297,jypp,3344,690.76
298,Shiro01,10026,690.49
299,umi,5361,690.08
300,Mewie,5433,688.06
301,MSTAR,12426,687.25
302,smile,7099,686.9
303,Sir Kruksic,16079,686.67
304,Chyste,14479,685.97
305,Cristall,5406,685.85
306,LanuX,17425,685.09
307,c[]okie m[]nsta,11236,685.0
308,Dum,5807,684.87
309,Dherian!,10173,683.34
310,Meraҝi,12072,683.28
311,轻音乐,5821,679.12
312,Nejik :3,12627,678.68
313,GlobQ,14576,678.68
314,yo bitch,14339,677.97
315,是清明呀,5674,677.01
316,Đϻτεε,8534,676.28
317,I See You,15658,675.5
318,Blurry,19734,675.1
319,NightMarsmellow,13053,673.75
320,PitausK,6048,673.43
321,DZO,10764,673.33
322,yaoyy,5670,672.8
323,LCSG47,17750,672.58
324,Crytek,12179,669.6
325,猫猫人,6368,669.4
326,Gloriousitirity,7055,669.22
327,ghg,13881,667.41
328,moonan,6765,667.36
329,Inaccuracy,4492,667.16
330,PUPPY,2371,666.08
331,Takito,3943,664.75
332,Genex,17568,664.02
333,하우마,3078,663.99
334,Not Spawn,4822,663.9
335,N@Ni,4041,663.55
336,Athylas,4481,663.01
337,Mrs Depression,2523,662.75
338,hannibal,9238,662.35
339,十八,6386,660.99
340,Yuzu,9591,659.82
341,javi,9182,659.39
342,见谁坑谁,5188,658.89
343,Hu.,8451,658.35
344,Nexarius,7646,657.0
345,Deeper,12288,656.53
346,bol'shaya hyina,13270,655.93
347,Fluday,18871,654.71
348,leayoue.,7656,652.75
349,Pauline,13092,652.73
350,PAWA_Master_X,6152,651.4
351,Teach Me,7196,651.01
352,_XIAOXIAO_,8803,650.28
353,Pfandflasche,9900,649.69
354,Brokecdx-,14987,649.25
355,sodayo,2595,648.48
356,Bluevy,2242,648.46
357,hussainx3,8650,647.76
358,DiegoBlaster21,12478,647.51
359,冷風a,8120,647.51
360,Doid,8261,647.08
361,☠Arcŧurus☠,2782,646.85
362,HEI.SAMA,3708,646.56
363,xx,917,646.56
364,Wondernoob,15266,646.17
365,Diiego:3,9970,646.0
366,TeeWurst Neon,11915,645.86
367,Wollwolke,5668,645.81
368,Forris,16911,645.61
369,watёr,9201,644.34
370,[Wu]*GzA,17846,644.07
371,LiiThO,4851,642.87
372,公仔,5355,642.42
373,Sя.ÐǾĠ€,7842,641.37
374,garry,10523,640.61
375,BisZ,11980,639.52
