Rank,Nickname,Points,Insane_pts,List_of_insane_maps
122,[D]Jesus Christ,72,42,[('Justice 2', 42)]
123,XyrE,73,34,[('Generic World', 34)]
124,Kayumi,74,34,[('Justice', 34)]
125,flex on ur ex,74,34,[('Generic World', 34)]
126,(1)Grk0ne,74,38,[('Genericore 8', 38)]
127,zeldahoe123,75,38,[('Ravillion', 38)]
128,Koala sux BBC,80,80,[('Ravillion', 38), ('Heartcore', 42)]
129,Hell,83,38,[('Ravillion', 38)]
130,Fuck Havoc,86,38,[('Ravillion', 38)]
131,kys Cendren,86,38,[('Ravillion', 38)]
132,ltachi,87,34,[('Justice', 34)]
133,Suga,89,34,[('Not Naufrage 4', 34)]
134,fuck ddnet,90,34,[('Aimazing', 34)]
135,gB. | EryX,91,34,[('Justice', 34)]
136,abamka,91,34,[('Binary', 34)]
137,AriiBest♥,91,38,[('Ravillion', 38)]
138,rocku$,93,42,[('Heartcore', 42)]
139,Nib,95,34,[('Binary', 34)]
140,RonIn 😼,97,38,[('Ravillion', 38)]
141,Eater,98,38,[('Ravillion', 38)]
142,kicker lohoped,99,34,[('Binary', 34)]
143,clacla,100,38,[('Ravillion', 38)]
144,Bill,101,34,[('The Enchanted Clearing', 34)]
145,Darekaou,101,34,[('Binary', 34)]
146,баребух,101,38,[('Ravillion', 38)]
147,:z,103,34,[('Binary', 34)]
148,Knechtren,103,34,[('Springlobe 3', 34)]
149,WelfSucksDicks,104,34,[('Genericore 6', 34)]
150,iNmO,104,42,[('Heartcore', 42)]
151,Taqito,105,34,[('Springlobe 3', 34)]
152,porco dio,106,38,[('Ravillion', 38)]
153,Soon,108,38,[('Ravillion', 38)]
154,monito2007,110,38,[('HellCore', 38)]
155,SorahBestMapper,110,34,[('Binary', 34)]
156,NOMA,110,38,[('Ravillion', 38)]
157,Donger69,110,34,[('Binary', 34)]
158,Spoopy,114,38,[('HellCore', 38)]
159,RUS > GER,115,34,[('Adrenaline 4.2', 34)]
160,Riley Reid,117,38,[('Ravillion', 38)]
161,Alternative,118,76,[('Binary', 34), ('Heartcore', 42)]
162,(1)rezee,122,38,[('Ravillion', 38)]
163,Neb,126,34,[('Binary', 34)]
164,gazzy garciaXD,126,38,[('HellCore', 38)]
165,$crim,127,38,[('Ravillion', 38)]
166,Sui,129,34,[('Aimazing', 34)]
167,growing[D],130,34,[('4q', 34)]
168,pe,130,34,[('4q', 34)]
