Maps with the least absolute difference between 1st and 2nd team ranks
No. map, 1st result - 2nd result, absolute difference, difference between normalized (z-score) 1st and 2nd results
105. MonkeyDream 3 - 678.72, 681.26, 2.54, 0.002654
106. Plan B - 403.50, 406.04, 2.54, 0.005212
107. Mirage - 146.90, 149.48, 2.58, 0.008163
108. HellGate 2 - 147.12, 149.80, 2.68, 0.011885
109. Fishbone - 387.42, 390.12, 2.70, 0.005432
110. Camouflage - 93.88, 96.60, 2.72, 0.007043
111. Milthrid Core - 521.36, 524.08, 2.72, 0.000633
112. Totoro - 300.88, 303.62, 2.74, 0.006974
113. ZeroX - 249.60, 252.34, 2.74, 0.005051
114. Just Fly 1 - 63.04, 65.80, 2.76, 0.005436
115. NUT_hardcore_race3 - 118.26, 121.04, 2.78, 0.008173
116. Cuboid - 133.72, 136.50, 2.78, 0.011001
117. Sandland - 121.84, 124.70, 2.86, 0.019171
118. MicCore - 696.40, 699.26, 2.86, 0.002081
119. Yun Gu 2 - 417.22, 420.10, 2.88, 0.001014
120. Nucl - 417.22, 420.18, 2.96, 0.000925
121. Back to the Roots 1 - 164.72, 167.74, 3.02, 0.009428
122. illusion - 387.94, 391.00, 3.06, 0.008908
123. Boo! - 423.96, 427.02, 3.06, 0.002179
124. Chicken Pie - 80.92, 84.00, 3.08, 0.015815
125. Impossible 1 - 126.86, 129.96, 3.10, 0.004527
126. IronMan - 188.18, 191.32, 3.14, 0.013215
127. Dark Moon - 327.18, 330.32, 3.14, 0.006207
128. Grey 1 - 62.48, 65.66, 3.18, 0.022055
129. FWYS 3 - 721.68, 724.88, 3.20, 0.002612
130. Mount - 214.58, 217.80, 3.22, 0.006399
131. Water Lily - 69.72, 72.98, 3.26, 0.025423
132. HellGate X - 1124.20, 1127.50, 3.30, 0.002384
133. Blue Hell - 426.06, 429.38, 3.32, 0.010809
134. Piranha - 552.50, 555.84, 3.34, 0.004158
135. Difficult 1.2 - 793.80, 797.16, 3.36, 0.001712
136. Short - 32.54, 35.92, 3.38, 0.066575
137. Sunsetcave - 74.94, 78.34, 3.40, 0.028164
138. Dry Lagoon - 336.14, 339.54, 3.40, 0.006044
139. Ultimatum 1 - 322.40, 325.82, 3.42, 0.006149
140. Just2Easy - 134.32, 137.76, 3.44, 0.010800
141. blur - 210.56, 214.02, 3.46, 0.023494
142. Hookthrough - 113.42, 117.00, 3.58, 0.006085
143. Empire Desp - 304.04, 307.64, 3.60, 0.005691
144. Cold Jungle - 268.76, 272.36, 3.60, 0.005890
145. Miper 5 - 610.52, 614.16, 3.64, 0.004809
146. Future_Race - 70.48, 74.12, 3.64, 0.029292
147. EasyCore - 75.46, 79.10, 3.64, 0.039710
148. StepByStep - 102.58, 106.34, 3.76, 0.025299
149. Diamond Mine - 85.96, 89.72, 3.76, 0.015053
150. NUT_race5 - 159.74, 163.54, 3.80, 0.013095
