Maps with the largest relative difference between 1st and 2nd team ranks (using z-score normalization)
No. map, 1st result - 2nd result, absolute difference, difference between normalized (z-score) 1st and 2nd results
98. TheWalkingDead - 962.40, 1278.04, 315.64, 0.293475
99. Interlude - 2769.74, 3221.28, 451.54, 0.292775
100. Endgame - 584.40, 831.66, 247.26, 0.290024
101. Tropical Island - 1162.60, 1629.22, 466.62, 0.289065
102. Skyfly - 338.72, 483.78, 145.06, 0.286723
103. Zadrotos 5 - 2370.72, 2811.20, 440.48, 0.281993
104. Mystic River - 772.52, 1062.60, 290.08, 0.280536
105. Zadrotos 1 - 450.32, 585.26, 134.94, 0.276349
106. Red Japan - 441.10, 610.70, 169.60, 0.273968
107. The Way to the Hell - 774.38, 1755.32, 980.94, 0.272290
108. Jumanji - 934.42, 1196.68, 262.26, 0.272274
109. #MegaRosenkohl - 1212.10, 1532.18, 320.08, 0.263164
110. slow - 213.16, 304.02, 90.86, 0.263128
111. Lost - 892.30, 1098.08, 205.78, 0.258538
112. Springlobe 3 - 10499.80, 13069.30, 2569.50, 0.257970
113. Level - 721.04, 987.92, 266.88, 0.257435
114. HURT - 350.80, 466.70, 115.90, 0.255961
115. Complex - 1221.28, 1873.84, 652.56, 0.251962
116. 4Four - 3227.96, 3805.52, 577.56, 0.251225
117. Jailbreak 3 - 351.64, 492.30, 140.66, 0.250825
118. Hardcore 5 - 466.94, 743.62, 276.68, 0.250517
119. Challenge - 905.88, 1161.16, 255.28, 0.249983
120. Aftermath - 301.64, 387.32, 85.68, 0.248016
121. HellCore - 2198.76, 2730.80, 532.04, 0.246602
122. Night Jungle - 1207.24, 1483.72, 276.48, 0.246265
123. HappyEaster - 536.06, 656.68, 120.62, 0.245309
124. Elumite - 639.60, 1012.12, 372.52, 0.244025
125. Shockwave - 3129.86, 3641.70, 511.84, 0.243310
126. Sunrice - 496.72, 679.34, 182.62, 0.242789
127. Nujabes - 811.38, 1059.36, 247.98, 0.242273
128. Guhimbarwa - 517.16, 868.64, 351.48, 0.241389
129. Falling Down - 1859.88, 2843.22, 983.34, 0.240505
130. HearTbeaT - 2084.64, 2421.88, 337.24, 0.239558
131. VeryLow1 - 793.72, 921.22, 127.50, 0.238656
132. #wontfix - 753.66, 999.98, 246.32, 0.238598
133. Hardcore 6 - 701.40, 936.68, 235.28, 0.237836
134. Strike - 92.78, 114.38, 21.60, 0.237125
135. Cavings I - 321.24, 392.08, 70.84, 0.235554
136. SpongeBob 1 - 487.92, 595.94, 108.02, 0.233300
137. Day - 503.48, 669.82, 166.34, 0.232078
138. Victory 4 - 828.60, 1083.14, 254.54, 0.231364
139. Kovcheg - 985.10, 1335.52, 350.42, 0.227336
140. Ice Cave 1 - 1224.14, 1623.24, 399.10, 0.226588
141. Baguette - 1651.18, 2068.88, 417.70, 0.225552
142. Doable - 249.68, 337.02, 87.34, 0.225044
143. Next - 598.84, 730.18, 131.34, 0.224685
144. Genericore 4 - 1092.40, 1476.94, 384.54, 0.219877
145. Spectrus I - 196.06, 260.12, 64.06, 0.218559
146. Madrigal - 358.78, 447.24, 88.46, 0.217292
147. Heartcore II - 3694.04, 4135.22, 441.18, 0.213349
148. Cleopatra - 1156.40, 1478.48, 322.08, 0.213253
149. Mirai - 526.48, 709.96, 183.48, 0.211626
150. Out of Castle - 930.84, 1311.74, 380.90, 0.211512
