Maps with the largest absolute difference between 1st and 2nd team ranks
No. map, 1st result - 2nd result, absolute difference, difference between normalized (z-score) 1st and 2nd results
98. Genericore 4 - 1092.40, 1476.94, 384.54, 0.219877
99. Out of Castle - 930.84, 1311.74, 380.90, 0.211512
100. Childs Play 1 - 780.16, 1157.06, 376.90, 0.146412
101. Elumite - 639.60, 1012.12, 372.52, 0.244025
102. Skywalk - 1062.30, 1431.82, 369.52, 0.170634
103. Guhimbarwa - 517.16, 868.64, 351.48, 0.241389
104. Kovcheg - 985.10, 1335.52, 350.42, 0.227336
105. Crimson - 1283.80, 1631.68, 347.88, 0.206949
106. New Generation - 1552.10, 1897.90, 345.80, 0.074996
107. Zadrotos 2 - 1303.90, 1649.22, 345.32, 0.200328
108. Arcadian - 789.92, 1129.38, 339.46, 0.184402
109. Nyanpasu - 477.44, 816.52, 339.08, 0.307021
110. HearTbeaT - 2084.64, 2421.88, 337.24, 0.239558
111. Pentamine - 588.72, 925.96, 337.24, 0.135777
112. Natura - 1079.48, 1415.92, 336.44, 0.297471
113. StrangeNight - 318.94, 643.90, 324.96, 0.723966
114. Victory 5 - 1116.98, 1440.50, 323.52, 0.305345
115. Cleopatra - 1156.40, 1478.48, 322.08, 0.213253
116. #MegaRosenkohl - 1212.10, 1532.18, 320.08, 0.263164
117. Chinatown - 775.12, 1091.46, 316.34, 0.152085
118. ResidentSS - 1450.30, 1765.98, 315.68, 0.205800
119. TheWalkingDead - 962.40, 1278.04, 315.64, 0.293475
120. Baber - 1264.74, 1571.78, 307.04, 0.135360
121. Reload 4 - 628.60, 935.62, 307.02, 0.161511
122. Threesome - 661.96, 966.60, 304.64, 0.074108
123. Cosyris - 954.04, 1257.00, 302.96, 0.115836
124. Difficult 1.3 - 738.30, 1031.22, 292.92, 0.070049
125. Mystic River - 772.52, 1062.60, 290.08, 0.280536
126. Journey Man - 2131.56, 2419.02, 287.46, 0.107193
127. Logics - 1644.54, 1931.46, 286.92, 0.193210
128. Paranormal - 952.86, 1232.96, 280.10, 0.305030
129. Double Dragin - 1099.04, 1377.78, 278.74, 0.119184
130. Hardcore 5 - 466.94, 743.62, 276.68, 0.250517
131. Night Jungle - 1207.24, 1483.72, 276.48, 0.246265
132. Analyzer - 700.66, 975.38, 274.72, 0.428190
133. The Ultimate Rainbow - 259.66, 532.34, 272.68, 0.434681
134. Aimlicious - 1245.70, 1518.12, 272.42, 0.037082
135. Triple Kill - 1965.80, 2237.76, 271.96, 0.337965
136. Hardcore 3 - 719.16, 988.98, 269.82, 0.095380
137. Yoko 4.1 - 958.14, 1227.56, 269.42, 0.337966
138. Level - 721.04, 987.92, 266.88, 0.257435
139. Back in the days - 864.60, 1129.94, 265.34, 0.319426
140. Jumanji - 934.42, 1196.68, 262.26, 0.272274
141. Circle - 1320.78, 1582.24, 261.46, 0.161194
142. Challenge - 905.88, 1161.16, 255.28, 0.249983
143. FWYS 4 - 1732.02, 1986.96, 254.94, 0.182416
144. Victory 4 - 828.60, 1083.14, 254.54, 0.231364
145. Handifly - 540.00, 794.42, 254.42, 0.037242
146. Binary - 1615.42, 1863.66, 248.24, 0.008736
147. Nujabes - 811.38, 1059.36, 247.98, 0.242273
148. Endgame - 584.40, 831.66, 247.26, 0.290024
149. Grandma - 1616.74, 1863.32, 246.58, 0.100073
150. #wontfix - 753.66, 999.98, 246.32, 0.238598
