Map: Time, Date
SkyFly:	164.84,	2016-08-22 21:44:13
Easy 1:	88.82,	2016-08-23 19:34:55
Naufrage 3:	1136.22,	2016-08-24 11:56:27
Aim 2.0:	780.12,	2016-08-24 19:23:00
Dream 2:	634.0,	2016-08-25 20:48:25
Veni Vidi Vici:	698.04,	2016-08-26 02:59:42
Ironprison:	999.94,	2016-08-26 22:22:33
Sandland:	36.1,	2016-08-27 22:16:50
Nytro:	25.0,	2016-08-31 23:26:22
Absurd 2:	148.92,	2016-09-02 18:56:50
NUT_race4:	25.72,	2016-09-04 06:24:59
HDP_run_gay25:	364.42,	2016-09-13 13:08:11
Destiny 1:	1375.76,	2016-09-16 22:37:44
Teleport:	76.44,	2016-09-24 00:58:34
Skillz 6:	88.3,	2016-09-24 17:34:35
xyz_ddrace2:	148.88,	2016-09-24 18:53:59
Core:	69.18,	2016-09-24 23:01:42
GlassBox 9:	91.98,	2016-09-25 01:20:15
ClassicMonkez:	842.2,	2016-09-25 02:46:02
Sundara:	472.24,	2016-09-27 21:41:37
Pale 2:	253.26,	2016-09-28 00:53:01
Pale:	235.66,	2016-09-28 03:02:15
bBzZ!!:	354.36,	2016-10-01 17:14:05
Genesis:	241.86,	2016-10-02 11:03:36
FWYS 4:	1732.02,	2016-10-02 23:21:17
Increase Your Speed:	52.1,	2016-10-05 12:09:26
Escape from the Prison:	291.3,	2016-10-05 14:10:06
[SI] NEVERLAND:	372.7,	2016-10-07 23:12:06
Fried:	979.0,	2016-10-08 20:37:09
Who's Faster:	93.96,	2016-10-10 23:30:08
UpNDown3:	173.42,	2016-10-12 20:50:35
Deria:	63.52,	2016-10-15 21:04:05
PurpleHeaven:	226.44,	2016-10-22 23:40:53
WoFs:	2708.94,	2016-10-28 12:02:20
MojoJump:	69.74,	2016-11-02 13:56:26
Furypleasure:	61.46,	2016-11-12 13:48:05
Castle Mario:	443.78,	2016-11-14 17:20:23
Forgotten Lands:	419.44,	2016-11-17 13:46:21
42:	315.16,	2016-11-18 00:25:55
pepsi:	618.46,	2016-11-18 01:39:00
HookThrough3:	102.3,	2016-11-20 23:40:28
Anaphore:	73.78,	2016-11-24 03:31:02
Inspire:	1290.74,	2016-11-24 18:06:45
Sadway:	1487.98,	2016-11-27 15:31:36
Vizur:	119.56,	2016-12-05 16:16:59
Caventure IV:	202.56,	2016-12-07 21:12:08
City of Death:	1095.2,	2016-12-08 10:54:54
Journey Man:	2131.56,	2016-12-14 19:27:51
Speedster:	26.3,	2016-12-15 18:41:30
DaFuQ:	215.68,	2016-12-17 02:40:43
Samdragaline:	413.08,	2016-12-22 21:08:28
MiddleFinger:	444.04,	2016-12-23 11:38:12
Just Fly 2:	73.78,	2016-12-24 13:34:01
Cuboid:	98.76,	2016-12-25 22:08:28
Aim 5.0:	1047.94,	2017-01-01 10:50:05
Clarity:	70.18,	2017-01-06 05:45:49
Empire Desp:	304.04,	2017-01-06 22:08:22
HellGate 1:	345.06,	2017-01-06 23:53:23
HellGate 1.5:	304.1,	2017-01-07 04:07:41
Insanity:	848.82,	2017-01-07 23:34:16
Freeze Slow 4:	1084.94,	2017-01-08 00:04:27
Woader:	313.32,	2017-01-11 11:36:41
Indicud:	469.98,	2017-01-12 19:49:27
Divergence:	1290.74,	2017-01-13 17:51:57
Looney [Extreme]:	148.2,	2017-01-14 15:35:11
DawnOfDust:	664.22,	2017-01-14 19:26:28
HellGate 2.5:	412.78,	2017-01-15 17:11:31
HellGate 3:	340.44,	2017-01-15 17:50:24
HellGate 5:	369.26,	2017-01-15 19:30:42
SonQuery:	142.58,	2017-01-16 18:26:18
Dragonscale:	1094.46,	2017-01-30 01:23:41
Hostile:	125.4,	2017-01-30 22:00:51
Flow:	1203.06,	2017-02-01 22:21:04
Neverwhere:	2485.0,	2017-02-12 14:19:39
