No.,Map,Points,CountOfFinishedTees,MedianTime(min),PeX_time(min)
1093,run_blue,0,12007,0.18,0.13
1094,run_ankii,0,12192,0.21,0.15
1095,Just Fly 1,6,12203,5.98,2.24
1096,GreenAde,2,12287,9.94,2.43
1097,Sorrow,3,12289,10.31,2.29
1098,GlassBox 7,3,12317,6.73,1.88
1099,benrace,3,12357,25.58,4.59
1100,Shadow,5,12368,33.37,7.32
1101,GlassBox 5,2,12442,7.02,1.52
1102,Future_Race,5,12491,4.68,1.35
1103,Threll,3,12608,32.22,6.4
1104,Blue Sapphire,5,12624,18.57,3.44
1105,No_Stuck,4,12744,5.36,2.97
1106,Batman,3,12789,7.52,1.8
1107,HookThrough3,11,12791,10.3,3.35
1108,Psyll,3,12990,25.74,5.52
1109,Koule 5,1,13039,15.34,2.69
1110,GlassBox 6,2,13303,7.04,1.86
1111,Teleport,3,13653,14.78,1.7
1112,Cup of Tee,7,13731,18.74,6.85
1113,Decipher,5,13796,17.95,5.08
1114,SorGores 1,4,13895,1.23,0.67
1115,Diamond Mine,4,13923,10.17,1.68
1116,MonkeyDream,7,13959,18.84,9.26
1117,Vizur,4,14235,16.46,3.15
1118,Looney,4,14245,7.28,1.77
1119,GlassBox 4,2,14336,4.09,1.13
1120,Ovell,3,14478,32.13,5.83
1121,Pados 3,3,14530,26.55,4.05
1122,Lonely,3,14710,12.87,2.31
1123,SpÃ¼li,3,14725,12.0,2.68
1124,Planet Mars,4,14816,39.01,10.46
1125,Icebreaker,4,14880,43.94,9.94
1126,Jungle Camp,5,15196,33.66,8.37
1127,Glade,3,15291,7.16,2.19
1128,Purple Panic,8,15761,22.26,11.05
1129,Seagulls,5,15820,31.89,7.66
1130,Top 1,2,15872,7.79,2.06
1131,Kaylite,4,15881,23.38,5.47
1132,Pados 2,3,16026,35.44,8.41
1133,Orion,5,16426,14.3,2.71
1134,Absurd 1,3,16443,16.99,3.09
1135,GlassBox 3,2,16678,5.72,1.56
1136,WTF,4,16702,14.97,2.45
1137,Maui Wowie 2,4,16741,7.85,1.64
1138,Sopella,3,16861,15.18,2.71
1139,Flappy Bird,0,16913,124.13,116.44
1140,Hookthrough,7,16925,10.1,4.32
1141,Deino,4,17251,13.79,4.62
1142,For Idiots 2,2,17402,13.54,3.16
1143,(wasntme),4,17442,22.87,3.41
1144,AiP-Gores,6,17486,11.24,3.0
1145,Mud,4,17630,1.18,0.86
1146,Joyride,4,17638,5.82,2.68
1147,Lowcore,2,17921,4.79,1.43
1148,Goo!,4,17968,19.38,3.92
1149,Geneque,4,18511,27.48,3.95
1150,Pounamu,3,18690,10.63,2.72
1151,Thor,3,18847,31.93,8.85
1152,Pounamu 2,4,18860,10.77,3.96
1153,Maui Wowie,4,18957,17.17,2.88
1154,xyz_ddrace2,3,19069,17.35,3.75
1155,Moonlight,3,19184,9.8,2.64
1156,Cuboid,3,19468,10.35,2.4
1157,TeeWorld,3,19487,11.98,1.74
1158,[School] Hammer,2,19533,13.22,2.22
1159,Take it noobly,2,19738,5.29,0.68
1160,Eventide,3,19890,14.88,4.52
