No.,Map,Points,CountOfFinishedTees,MedianTime(min),PeX_time(min)
335,Tube,15,972,34.97,49.96
336,run_unschaffbar,4,975,3.62,3.63
337,At Night,20,976,80.67,52.28
338,Angry,12,978,25.86,11.59
339,Back in the days 2,24,980,91.98,85.93
340,Black,12,986,13.29,11.89
341,Deria,16,986,15.7,22.36
342,run_experience_of_incredibleness,4,991,6.53,14.21
343,climate-crisis,4,993,13.4,13.4
344,Good Ol' Days 2,18,993,24.18,33.73
345,selfdragger,8,997,1.62,1.42
346,Eternal 2,15,998,76.37,120.0
347,BlackBear4,12,999,0.66,0.53
348,Desert Duration,8,1001,9.45,6.08
349,TowerOfDesperation,13,1004,49.81,27.17
350,Finito,16,1004,29.37,29.74
351,Zadrotos 1,12,1008,32.76,17.61
352,Hardstyle 1,12,1008,43.88,21.71
353,Timebreaker,8,1013,2.54,1.77
354,LazeAround2,11,1014,32.25,22.07
355,Michler 2,12,1021,23.08,27.5
356,Lost Castle,16,1025,59.02,54.32
357,Yoko 2.1,18,1026,6.87,4.91
358,run_heaven_and_hell,4,1028,7.56,5.62
359,Just Hookfly 1,6,1030,13.56,15.35
360,aled,24,1031,25.93,138.08
361,3Play,13,1033,56.02,23.98
362,Aviate,21,1034,55.8,47.1
363,Doable,11,1037,18.11,11.68
364,run_4popi,4,1041,4.68,15.24
365,Dead,15,1042,52.07,48.42
366,P2Z_Island,13,1043,35.57,13.22
367,Lost Story,12,1043,31.07,14.95
368,BackToBasics2,13,1045,23.96,19.37
369,Death Valley,21,1046,30.36,31.71
370,run_glowing_ice,4,1049,3.72,6.91
371,Eagle Race Compilation,12,1051,64.7,37.46
372,Rope swing,8,1051,4.37,2.2
373,Nasa,16,1052,26.0,16.33
374,Reality,16,1053,23.51,27.24
375,Late Evening,8,1054,1.27,0.79
376,Dels 2,16,1055,12.48,7.97
377,Run Free,11,1055,9.16,7.44
378,Samsara VI,15,1055,14.36,14.45
379,Violet,12,1056,22.39,34.34
380,lovely me2,12,1058,43.73,54.28
381,Myth,12,1059,53.16,12.26
382,Humpalumpa 2,13,1060,63.71,48.5
383,Angry 2,12,1063,32.97,21.81
384,run_pokemon,4,1065,11.61,16.33
385,Stamina,12,1071,22.84,11.12
386,[SI] NEVERLAND,11,1072,41.26,36.18
387,Skave,18,1076,47.6,50.84
388,FWYS Key 1,13,1077,48.07,31.94
389,NUT_race4,8,1078,18.36,13.28
390,run_4fikmesan,4,1079,3.15,1.39
391,Past,13,1081,35.94,30.94
392,Death Sentence 2,15,1084,50.34,75.27
393,HappyEaster,16,1085,35.89,17.88
394,MicCore,16,1085,62.58,40.57
395,BlackVision,8,1086,7.35,4.29
396,Frostbite,12,1087,15.56,5.33
397,run_pinky,4,1092,9.72,26.55
398,Wormhole,8,1092,0.59,0.33
399,Tylost,12,1095,38.28,26.4
400,NUT_hardcore_race2,12,1107,16.69,7.65
401,Verification 6,8,1107,0.99,1.15
402,Comeback,18,1109,25.28,15.57
403,Conscientious,13,1110,25.67,23.58
404,NightRunner,16,1111,35.1,17.93
405,Yeyou 3,15,1113,36.7,7.98
406,Zoe,18,1118,49.34,46.58
407,Stoned.,18,1119,38.94,42.29
408,Hardcore 3,12,1120,63.0,61.23
409,DummyCopter,15,1122,8.18,5.75
410,Difficult 2.1,12,1123,40.24,28.11
411,ttgtgttg,18,1123,32.18,65.82
412,Freeze Slow 3,6,1125,42.8,24.34
413,SunDay 3,15,1125,92.04,125.03
414,Brown Suger,8,1126,2.91,2.94
415,WEEDS,11,1127,16.98,10.1
416,Lonely Swim 9.0,8,1129,0.98,0.91
417,Caveman,12,1129,15.24,8.71
418,skynet compilation,16,1130,141.63,112.04
419,Excast,11,1131,34.62,27.76
420,Hardcore 9,18,1132,36.12,9.84
421,Brownie,16,1135,32.44,25.03
422,Just Fly 3,6,1141,11.81,14.63
423,Miper 5,6,1143,46.0,21.75
424,Creative,16,1147,32.6,15.15
425,Resoren,11,1153,39.36,80.9
426,run_linkin_park,4,1155,7.49,13.36
427,GuggPaloczi,13,1156,22.06,8.21
428,Emerald,13,1164,44.33,45.37
429,Try It,15,1166,9.71,8.95
430,run_yellow,2,1169,3.05,8.22
431,Rocket Player,8,1171,9.03,8.69
432,Sand Dune,24,1180,49.12,20.72
433,Slim,12,1180,30.41,21.68
434,Slide,8,1181,7.54,5.0
435,VeryLow1,16,1186,45.59,44.09
436,Good Ol' Days,18,1187,26.69,38.29
437,Cloudy,12,1192,23.68,9.31
438,FreeZe,8,1194,14.57,5.58
439,Plan C,11,1196,26.76,15.58
440,Neon 1,13,1197,78.72,77.87
441,SomewhereDistant,9,1197,11.06,6.9
442,21,16,1197,37.37,21.74
443,run_asr,4,1200,4.63,6.34
444,Insanity,12,1209,49.44,32.86
445,Freeze Slow 2,6,1211,38.3,30.26
446,NUT_hardcore_race3,8,1212,12.76,7.34
447,SkipIt2,8,1212,0.17,0.18
448,Swoosh,13,1219,57.43,36.04
449,Alpha,8,1222,15.29,12.03
450,[SI] SELEN,11,1244,16.45,17.67
451,Don't go,18,1245,8.44,5.97
452,[SI] DANICA,11,1247,16.53,30.48
453,Rayquaza,13,1251,42.81,62.02
454,HURT,15,1254,31.3,7.55
455,Universe,12,1256,62.83,49.24
456,run_cave_grass,4,1260,13.03,30.32
457,NUT_hardcore_race1,12,1260,30.79,20.46
458,NUT_race3,8,1261,19.9,13.37
459,CrashTV,12,1261,26.77,21.48
460,Dels,12,1269,16.94,12.79
461,Yeyou 2,15,1273,31.77,12.2
462,Hardcore 7,18,1283,47.94,13.42
463,Tee Legends 3,8,1285,1.94,1.98
464,Hell Ride,12,1286,37.97,21.76
465,StormzZ,12,1289,29.39,26.15
466,Bootcamp #2,11,1290,30.93,19.03
467,SpoopyDrag,15,1298,17.29,25.97
468,Hardcore 4,6,1300,31.0,19.92
469,Underground,18,1303,38.53,21.57
470,Push him,11,1303,14.6,8.09
471,Limitless,15,1313,21.34,13.22
472,Michler,12,1314,56.14,50.77
473,Climax,15,1314,61.59,39.65
474,Frats 4,12,1321,29.68,27.34
475,RageOne,8,1322,18.57,15.26
476,Samsara V,15,1323,14.58,19.21
477,EscapeTheCave,18,1329,23.23,30.31
478,valentees,8,1330,21.52,17.79
479,Totoro,12,1331,21.25,32.05
480,Castle,9,1333,4.18,3.18
481,Allround,8,1333,10.58,23.07
482,0 to 100,13,1339,32.08,9.08
483,Xabier,11,1340,32.52,23.68
484,WinterMine,12,1345,41.48,42.46
485,Rocket Jump,8,1350,7.5,2.91
486,007 - 2,8,1350,7.87,6.92
487,DatWay,12,1351,15.69,11.02
488,Short2,11,1353,2.17,1.12
489,Arcade,12,1354,33.16,25.31
490,Madness 5,16,1355,47.85,28.09
491,navii,8,1357,4.45,2.38
492,Madness 3,12,1362,42.43,43.34
493,Brown,13,1366,57.97,40.08
494,Let's Fail!,15,1366,23.02,9.91
495,Bercy,12,1371,34.84,16.54
496,Tribute 2,12,1382,29.12,26.54
497,Peaceful Jungle 2,13,1386,42.06,38.33
498,Holy Key,18,1388,30.52,9.0
499,IMA NINJA,12,1394,22.44,57.14
500,Impossible 2,12,1396,27.02,4.91
501,LazeAround,15,1400,46.78,39.72
502,HellGate 5,12,1409,29.75,22.6
503,Stronghold 3,24,1419,75.64,49.93
504,Deep Forest,18,1422,51.33,41.69
505,Flux 2,18,1429,43.94,65.11
506,LATOM,16,1431,28.7,20.73
507,Casa der Merde,15,1437,22.29,4.64
508,Little Adventure,9,1446,16.59,24.53
509,Back in the days,24,1450,69.68,83.82
510,Regret,12,1451,30.8,9.02
511,Schwung,4,1463,0.9,0.86
512,Just deep fly,25,1465,30.33,74.67
513,Empty,15,1467,59.02,62.7
514,Intense 2.0,11,1469,26.4,16.59
515,Black Jungle,8,1487,29.32,17.25
516,P2Z_DeadlyJungle,11,1496,24.95,19.07
517,Encore,12,1501,13.46,8.0
518,Qianye,15,1508,67.94,35.59
519,Top 2,11,1516,25.59,14.28
520,The Problem,13,1519,35.75,15.12
521,HeartOfMoon,13,1520,18.25,14.4
522,Freeze Slow 1,6,1522,30.98,19.32
523,Eternal,13,1524,38.2,25.0
524,Kobra 4 Solo,8,1530,15.19,11.3
525,NUT_race7,8,1531,13.05,6.24
526,Pandora,8,1533,28.87,17.6
527,Divided,12,1534,27.83,23.72
528,BlackBear7,8,1534,0.28,0.25
529,S-Race 2,12,1538,23.0,11.19
530,pepsi,12,1555,37.9,37.69
531,skynet10,8,1559,44.68,21.76
532,Im No Superman 2,12,1560,46.09,30.34
533,NiggoDrag,13,1561,63.28,44.92
534,lovely me,12,1561,17.53,10.03
535,leopold,18,1562,16.4,12.52
536,mazepack,4,1569,1.25,0.97
537,007 - 1,8,1571,7.83,4.01
538,DeadEnd,16,1572,70.02,77.78
539,Holiday Adventure,13,1587,39.67,39.65
540,Nujabes,11,1592,54.64,72.44
541,run_neonlight,2,1593,3.68,3.81
542,Spooky,11,1595,73.54,98.88
543,Short Flight,13,1599,25.34,13.72
544,Madness 4,12,1602,44.61,29.02
545,run_WARmoepopo,2,1619,2.06,0.71
546,BlackBear2,8,1621,0.53,0.55
547,Limitation,11,1625,34.89,21.73
548,Prison 1,4,1625,1.49,1.11
549,Destruction,15,1626,33.16,52.84
550,UpNDown Coop,9,1647,17.73,5.86
551,Minimum,13,1656,56.42,43.47
552,Brony,11,1657,32.94,27.13
553,Castle Mario,13,1658,43.53,39.29
554,Depressed,15,1661,14.24,18.37
555,R2D2,8,1664,39.81,36.32
556,Bomb Raid,15,1669,13.02,16.51
557,Tee Legends 1,8,1673,2.47,1.88
558,Yeyou 1,15,1678,44.23,22.7
559,Madness 2,12,1686,34.63,2.8
560,Feeling,8,1689,30.4,23.27
561,Frats 1,12,1690,25.84,16.95
562,Icy Mountain,8,1691,19.66,20.99
563,Revolution,8,1692,30.29,11.4
564,MojoJump,8,1696,11.24,3.37
565,black-mountains,8,1701,16.99,9.62
566,Kobra 3 Solo,8,1709,12.72,11.12
567,Miper 4,6,1713,32.16,13.22
568,Diamond,12,1713,25.02,17.24
569,Equalize!,12,1721,33.21,23.23
570,KeeZ,13,1726,31.29,16.09
571,HellGate 4,8,1729,22.08,6.26
572,Gorou,8,1729,0.47,0.43
573,Plan B,11,1733,30.91,9.63
574,Escape from the Prison,15,1736,24.57,48.62
575,Cross,13,1737,68.61,51.89
576,Google,12,1740,52.71,45.04
577,Flux,18,1741,29.63,29.4
578,Hook Fever,12,1747,14.0,7.52
579,Frats 3,12,1767,33.19,20.89
580,Difficult 1.1,12,1769,32.53,31.09
581,Captain America,9,1786,21.26,20.32
582,NUT_race5,8,1787,14.39,4.52
583,brainbase,8,1788,25.18,18.42
584,Moon of the Jungle,12,1789,51.42,28.19
585,BlackBear1,8,1789,0.57,0.34
586,JLI 1,8,1794,24.1,24.76
587,Between the Mountains,18,1802,43.92,34.16
588,Tricktee,15,1813,44.62,60.74
589,HellFly,6,1816,7.42,3.43
590,FastRun,9,1823,9.72,4.73
591,ForeverAlone,8,1833,4.04,2.37
592,R.I.P,8,1833,14.91,4.03
593,Increase Your Speed,8,1849,3.87,2.64
594,Arcade 2,12,1863,54.12,44.18
595,Hell 2,13,1866,41.44,25.18
596,.Background',12,1893,34.42,21.39
597,Maroon,8,1893,23.87,14.59
598,Miper 3,6,1901,24.47,17.8
599,Just HookThrough,9,1903,12.84,8.83
600,Teestar,6,1905,28.43,15.48
601,Daunell,11,1906,66.33,42.11
602,Sunreal,11,1908,14.48,2.84
603,SpongeBob 3,9,1912,23.4,19.37
604,Cheepl,8,1912,6.5,1.96
605,piViq,11,1917,34.49,34.6
606,milk,18,1920,35.03,37.34
607,Fireball,4,1920,1.76,0.91
608,Pace,10,1927,3.22,2.92
609,Intothenight,15,1936,32.96,9.91
610,lost_castle,18,1937,28.8,11.97
611,DARKness 1,8,1944,14.63,9.72
612,NUT_race6,12,1944,19.68,8.27
613,HellGate 1,8,1945,26.41,14.43
614,Standby,8,1946,7.0,4.2
615,[SI] VIADANTE,11,1965,11.98,7.31
616,Nyan Cat,4,1965,0.59,0.59
617,Away,8,1966,7.99,4.05
618,Gibson,13,1967,40.65,37.06
619,Crystal Maze,13,1967,26.5,26.29
620,VoidOfSpace,8,1968,8.78,5.45
621,o_O,8,1970,31.76,24.28
622,illusion,16,1972,22.6,22.91
623,NUT_short_race7,0,1973,0.22,0.04
624,Tribute 1,12,1981,22.27,6.7
625,Drag-House,8,1991,30.44,33.84
626,Experiment,8,1996,35.44,39.02
627,run_4abydos,2,1997,1.77,0.83
628,run_sunsetcave,2,2001,1.41,1.35
629,Jungle,8,2002,19.13,9.96
630,smile,4,2003,17.67,11.62
631,Moon Roar,13,2007,9.23,2.27
632,run_irish_luck,2,2008,4.21,3.39
633,himmel 2,6,2008,28.67,19.86
634,Dust's Leaf,8,2012,4.38,6.14
635,Impetuous,4,2017,0.77,0.68
636,Target,20,2020,7.36,7.43
637,Who's Faster,6,2023,10.76,4.79
638,Peaceful Jungle,9,2030,32.45,27.57
639,Snowy Mountain,13,2033,41.87,81.61
640,2 easy for u,9,2035,59.12,32.99
641,Escape,12,2037,11.9,6.77
642,Evo 1,12,2037,30.82,29.66
643,Hyper 2,11,2041,23.31,24.54
644,Genesis-2,8,2050,13.22,3.82
645,Snowzz,12,2056,45.45,37.37
646,Hope,16,2058,25.99,13.55
647,Cigarette,12,2066,39.66,25.25
648,run_brown,2,2067,3.28,3.11
649,Sundara,15,2068,39.27,62.11
650,Vesper,8,2085,7.64,5.45
651,Castle Lemongrab,11,2095,54.5,35.21
652,ATLAS,8,2101,31.4,14.19
653,Broken hammer,10,2105,13.18,23.27
654,run_long_for_popo,2,2109,5.35,7.2
655,Galaxy Story,11,2113,13.23,10.27
656,Pranki,13,2114,6.83,3.94
657,KitKat 2,8,2132,22.35,22.6
658,Whitemoon,8,2140,4.41,3.24
659,nullptr,18,2146,35.28,91.08
660,HellGate 1.5,8,2151,24.65,12.95
661,Biome Master,18,2155,14.51,3.6
662,slow,8,2156,19.63,22.73
663,Dubush,13,2164,45.09,34.23
664,Hope 2,16,2177,27.21,8.84
665,BoX,8,2182,15.72,11.0
666,Blue Adventures 1,4,2192,10.21,7.5
667,MorningStar,8,2192,8.38,6.99
668,Naufrage 3,24,2193,104.32,136.58
669,HellGate 2.5,8,2203,32.56,14.33
670,After the Cataclysm,8,2215,6.25,4.88
671,A World Beyond,18,2224,60.62,90.52
672,moondrag,11,2225,10.35,5.18
673,Stoned. 2,18,2226,36.38,22.81
674,Forgotten Lands,15,2227,29.79,10.99
675,Easy Edge,13,2229,14.34,8.71
676,mood,4,2238,3.38,0.96
677,MonkeyDream 3,13,2245,40.82,30.76
678,3way,8,2248,50.37,18.92
679,Verification 7.0,8,2263,0.61,0.74
680,Fresh,6,2266,27.25,13.99
681,Strike,4,2267,8.18,1.36
682,Flying in the Sky,18,2271,45.13,45.74
683,Lotus,21,2275,36.98,23.57
684,Simple World,9,2276,43.84,40.9
685,Summer Breeze,12,2280,22.87,27.86
686,Kero-Gores8,11,2281,8.09,6.12
687,Creepeez,12,2283,24.69,18.21
688,run_for_onkelz,2,2287,0.92,0.64
689,Fly-4-2,12,2309,17.2,8.67
690,[SI] LAVITA,9,2310,24.28,7.63
691,[SI] KABOO,9,2311,13.9,5.41
692,The Bunker,11,2312,53.35,26.62
693,Glitchhold,11,2313,11.22,3.65
694,Dark Rainbow,8,2316,21.9,12.38
695,run_the_cube,4,2317,4.55,1.33
696,Steff I beginning,4,2330,15.65,14.99
697,HellGate 3.5,9,2347,23.1,28.58
698,Hollow,9,2348,33.7,20.55
699,Easy Hook,11,2348,10.44,8.97
700,Twix,9,2353,43.03,20.68
701,Greed,15,2353,27.58,47.42
702,FWYS 5,12,2356,16.8,9.58
703,GTF 1,8,2362,15.26,8.44
704,Imposand,13,2376,22.24,10.09
705,Derpy 1,8,2382,49.18,44.38
706,spy,8,2389,0.71,1.03
707,Plue,9,2390,28.9,18.52
708,mainstream,9,2401,58.71,37.01
709,Dream 1 V2,8,2416,42.43,40.41
710,Chevtzo,13,2417,105.93,71.49
711,Forest,12,2417,25.84,16.12
712,NUT_race1,8,2419,10.87,8.11
713,run_drawed,2,2420,1.45,0.62
714,Afternoon,13,2421,46.19,47.48
715,Pyramids,13,2425,56.93,32.95
716,Snowy Sakura I,12,2437,35.46,20.19
717,Tiji,15,2443,20.92,4.71
718,Simple World 2,9,2450,60.29,49.98
719,TsinmaS,8,2453,14.16,9.54
720,SpongeBob 1,8,2461,28.96,17.65
721,Push it,8,2473,2.74,12.09
722,FWYS 4,12,2478,92.89,99.27
723,HeyYa,8,2485,24.21,15.06
724,Jajpack,4,2499,0.19,0.16
725,Buckle Up,4,2510,0.32,0.3
726,Hell 1 V2,12,2531,42.04,69.14
727,Spectrus I,4,2531,16.0,9.89
728,Sandland,9,2540,8.29,4.49
729,Hardcore 2 Solo,4,2541,4.34,5.57
730,Retro 0,4,2544,22.61,17.06
731,Hardcore 2,6,2550,20.39,8.8
732,JustMap,12,2553,17.93,6.16
733,Chill Let's Climb,8,2564,29.16,34.42
734,run_the_cure,2,2581,4.55,1.67
735,Steff III peace,4,2582,12.46,10.09
736,The Trip,11,2583,32.83,47.61
737,HDP_Run2,8,2587,20.85,21.96
738,Skychase,20,2591,17.5,43.86
739,Ray - 1,12,2604,27.08,16.07
740,Pandaland,8,2608,29.68,12.1
741,NUT_race2,8,2609,12.0,6.72
742,SilentNight,8,2612,21.15,7.75
743,TakeUrLuggage,15,2617,14.27,12.6
744,Push Them,11,2617,31.74,19.69
745,Zoroark,11,2645,20.9,8.44
746,HappyValenTees,8,2645,15.1,8.2
747,Lime,8,2648,23.88,34.39
748,Atticus Compilation,6,2649,72.71,39.72
749,Red Avenue,13,2650,73.34,75.81
750,BlackBear3,8,2654,0.51,0.45
751,Get The Gifts,8,2656,17.26,8.5
752,deathpack,8,2660,1.42,1.12
753,[SI] YELLOW,9,2666,7.58,3.21
754,HDP_Zinderencio,6,2680,3.68,1.37
755,Reach Pluto,12,2687,29.4,11.71
756,DARKness 2,12,2688,11.3,5.58
757,Autumn,8,2690,31.39,14.43
758,Chaos Factory 2,8,2695,39.01,25.17
759,run_greygrey,2,2701,1.59,1.12
760,Entei,13,2712,24.81,15.2
761,Halloween,16,2723,41.2,22.06
762,SkyFly,10,2724,8.88,9.74
763,bBzZ!!,12,2738,40.08,17.21
764,faye,7,2744,34.67,50.19
765,NightSky3,11,2756,20.75,20.03
766,HellGate 2,8,2761,12.17,6.17
767,CCrush,8,2762,32.18,14.77
768,Short,11,2771,2.75,0.76
769,NUT_short_race4,4,2774,5.14,1.95
770,Love 0.6,8,2776,11.86,9.25
771,Zip,4,2786,23.7,13.71
772,Silk Touch,13,2792,28.69,26.85
773,The Beginning,9,2795,41.46,48.98
774,Pizza,13,2796,29.11,13.36
775,Xeno Race #1,12,2807,13.06,17.16
776,Hyper,11,2809,20.55,14.24
777,SkiLLz,11,2842,39.17,27.82
778,Naufrage,21,2879,56.28,39.54
779,solo_castle,8,2883,1.61,0.8
780,Naufrage 2,24,2890,78.11,51.44
781,Simple World 3,11,2901,42.97,39.79
782,Just Fly 2,6,2903,7.45,6.77
783,0 KBeeeR S - 2,8,2935,32.9,38.58
784,tihid,11,2938,49.34,20.85
785,Grandma,18,2941,109.49,53.1
786,run_dude,2,2954,4.04,1.44
787,GreenDream,12,2968,19.66,9.45
788,4luvz,8,2976,8.8,5.15
789,Jumper,4,2980,1.51,0.94
790,Snow Problem,11,2982,23.92,12.37
791,Mini Zero,4,2984,8.71,17.72
792,Hell-time,8,2988,5.59,13.24
793,Rivendell,11,2989,43.68,29.95
794,SunDay,9,2991,43.92,29.24
795,Warch Comp,6,3000,78.48,45.19
796,Rainboom,8,3016,44.36,32.13
797,Peaks,8,3017,12.55,9.11
798,Earthborn,11,3020,18.94,13.14
799,Yin&Yang,8,3020,33.05,22.33
800,Piranha,9,3023,36.02,22.42
801,High Five,9,3023,34.07,13.05
802,Stronghold 2,21,3033,59.59,29.26
803,secreT,8,3043,19.26,15.54
804,Madness 1,6,3058,37.59,44.05
805,Weapons,7,3073,29.96,18.89
806,HellGate 3,8,3081,24.23,7.16
807,Castle of Glass,8,3084,18.32,15.91
808,Samsara II,15,3084,16.78,13.72
809,run_button,2,3090,2.68,1.69
810,Fairy Land,8,3097,41.71,28.56
811,run_forrest,2,3098,2.2,1.41
812,The East Desert,11,3112,45.69,48.08
813,idk,11,3118,5.06,1.11
814,Cavings I,9,3132,24.5,10.97
815,skynet8,4,3155,14.71,9.85
816,Bumba,4,3161,10.74,4.9
817,GlassBox 9,4,3163,13.64,5.27
818,NUT_race9,8,3188,2.7,1.85
819,RockBlock 1,8,3189,12.81,30.98
820,Grandpa,18,3191,31.14,22.25
821,Retro 1,4,3209,14.32,7.15
822,[SI] INSTINCT,9,3216,19.14,9.03
823,HDP_Obstaculos,6,3222,58.82,26.25
824,Hardcore 1,6,3225,25.45,14.68
825,Supernova,18,3231,35.32,61.76
826,skynet9,4,3231,12.6,10.52
827,Impulse_03,4,3248,4.63,0.63
828,NightSky,11,3250,34.41,16.42
829,Josen,6,3254,48.78,38.12
830,Heaven,9,3281,27.95,12.62
831,Blue & Yellow,8,3289,19.77,13.55
832,GlassBox 10,4,3309,14.15,2.71
833,Zaiross-Gores,7,3313,4.97,4.52
834,Rovo,12,3316,42.67,29.14
835,run_InTheHell,2,3326,1.84,2.87
836,Try Again,9,3333,21.68,17.51
837,KitKat 1,8,3336,30.35,25.02
838,DayLight,8,3343,10.26,19.82
839,OldschoolAdventure,4,3348,30.98,33.63
840,Heroic,8,3352,11.77,11.68
841,Drag-House2,8,3356,23.27,9.36
842,NUT_short_race3,0,3358,0.27,0.19
843,SimplePlay 4,11,3359,2.45,0.9
844,Barren,21,3362,18.47,40.78
845,Watch your time,10,3404,10.23,2.42
846,Impulse_02,4,3424,1.96,0.33
847,FWYS 1,12,3442,31.49,37.72
848,Brick World 2,8,3452,14.41,7.86
849,Toxic,12,3456,42.58,17.13
850,Delension,8,3483,1.43,1.28
851,skynet6,4,3510,13.42,5.08
852,NUT_short_race2,4,3521,0.24,0.15
853,Orange 1,6,3527,11.23,11.14
854,S-Race 1,8,3554,16.23,2.16
855,Downhill Jam,15,3554,5.63,6.19
856,BSWL,8,3556,22.68,14.72
857,Request,9,3559,22.46,32.27
858,RON,15,3572,12.7,16.28
859,FlipLipp10,12,3580,14.65,18.34
860,Boo!,13,3593,32.68,32.51
861,Just Rocketfly 1,15,3605,8.4,37.53
862,Samsara III,15,3605,20.47,21.01
863,Chaos Factory,8,3612,20.73,7.81
864,3of4,8,3665,4.48,2.36
865,Kobra Solo,8,3683,12.88,8.58
866,Mirror,4,3686,5.58,1.88
867,Colors V2,12,3699,28.17,25.46
868,MCPV,12,3704,18.58,10.16
869,NightSky4,13,3716,26.05,13.54
870,skynet5,4,3723,11.71,4.32
871,double up,8,3770,29.14,22.95
872,Nostalgia,21,3785,52.13,56.11
873,Purple Panic 3,11,3798,33.95,46.36
874,Sunsetcave,4,3807,6.59,2.96
875,a_simple_run,9,3811,3.38,2.05
876,Rollercoaster,4,3813,3.44,1.09
877,Darkvine,15,3836,14.48,13.08
878,Winter Dream,8,3843,26.28,13.83
879,Exit,9,3857,21.84,11.62
880,pocramruinrun,2,3863,1.58,1.34
881,Tech,15,3871,12.2,8.03
882,Magnitude,11,3882,18.43,10.29
883,Lygerastia,9,3891,56.64,30.34
884,Amor 2,6,3893,43.34,25.72
885,skynet7,4,3895,8.97,3.83
886,Stargazing,9,3912,32.47,15.19
887,Dream 2,8,3938,33.89,33.87
888,JetPack,4,3984,13.95,8.85
889,Shaxx,8,4024,19.05,11.41
890,Pirateworld,6,4039,9.05,8.28
891,run_ffs,2,4064,2.17,1.76
892,Wonderland,15,4065,17.87,10.59
893,MiddleFinger,9,4070,28.41,13.0
894,NUT_short_race5,4,4070,0.67,0.46
895,Green Race,9,4071,25.15,13.02
896,Impulse_01,4,4087,1.88,0.72
897,Want_a_Cookie,8,4112,10.93,5.39
898,Equestria Girls,8,4122,27.17,11.95
899,HDP_OnOff,4,4135,5.75,3.67
900,Fall In Love,4,4141,10.08,4.03
901,NightSky2,11,4155,25.12,26.81
902,WallJump,8,4173,7.35,27.46
903,EasyCore,4,4174,6.06,1.65
904,Cavity,4,4178,3.89,1.49
905,skynet3,4,4197,7.98,3.43
906,TheVoiD,8,4226,41.48,34.25
907,Desert Night,4,4228,2.54,1.57
908,Axom,8,4240,15.57,8.76
909,Underworld,8,4261,39.17,22.01
910,Against the Current,11,4281,12.13,4.54
911,1of4,8,4283,4.86,2.15
912,vitaminC,4,4318,16.61,11.81
913,Genesis,8,4384,17.07,6.63
914,P2Z_Soar,11,4456,30.17,36.81
915,Justix,9,4466,19.68,19.37
916,Hollow 2,7,4483,28.86,26.0
917,Caventure III,15,4535,13.29,19.44
918,skynet2,4,4536,9.53,3.99
919,skynet4,4,4544,7.36,3.46
920,[SI] AVADA,9,4551,11.19,12.12
921,P2Z_Crungle,9,4561,26.09,12.22
922,ctf5_solo,4,4564,1.76,1.08
923,Blue Sky,8,4568,18.64,18.23
924,Nytro,4,4584,0.83,1.13
925,StoneHell-Gores,6,4609,11.55,6.06
926,Jvice,9,4610,37.86,18.27
927,Pharice 2,11,4614,46.56,45.76
928,Icy Morning,12,4627,24.9,16.09
929,84,8,4651,23.52,21.62
930,Clarity,7,4656,10.16,10.29
931,X-Cross,8,4658,26.13,15.91
932,DayDrive,7,4662,15.0,6.42
933,The Space Station,4,4684,5.16,3.17
934,Lonely Swim 4,4,4717,0.71,0.56
935,Etna_1,9,4718,17.42,8.37
936,SimplePlay 2,5,4750,4.02,0.85
937,Intense 1.0,7,4754,17.82,6.66
938,Crimson Woods,7,4762,7.29,3.89
939,Bomb Raid 2,15,4763,14.86,15.13
940,Heaven-time,4,4787,3.3,2.15
941,Dummy Chamber 3,15,4824,7.42,5.14
942,Olymp,11,4825,31.48,9.47
943,FWYS 2,12,4866,39.01,36.72
944,Troj,6,4877,35.45,8.49
945,Yun Gu,15,4890,29.62,23.34
946,Sky line,8,4930,21.08,9.76
947,Pathway 4,4,4956,4.74,2.17
948,SimplePlay,5,4971,2.75,1.38
949,himmel,6,4976,21.01,11.5
950,CYO,5,4982,0.96,0.38
