No.,Map,Points,CountOfUnfinishedTees,MedianTime(min)
823,noro,20,127,3.12
824,At Sundown,27,126,127.01
825,Intense 3.0,21,126,33.59
826,Anoix,27,126,174.08
827,run_hard_hundred,8,126,71.53
828,Qwertz,18,125,21.66
829,Frozen,24,125,18.77
830,Cya Nerd,21,124,42.63
831,Goldshire,24,124,41.96
832,FreeDoom,18,123,58.02
833,Skepsis,12,123,3.17
834,Arcadian 2,24,122,77.8
835,Sleepy,21,121,38.38
836,Illusion,12,121,58.82
837,Valley 2,24,121,59.93
838,Double Dragin,24,121,75.5
839,Fly out of hell,20,120,60.72
840,Awayza,12,120,23.81
841,Arcadian,21,120,56.44
842,Push it 2,12,120,10.85
843,Verification 7.1,12,119,1.17
844,Guhimbarwa,15,118,39.42
845,Elumite,21,117,51.54
846,Day,20,116,43.6
847,run_golden_toilet,8,116,11.73
848,Heraconx,12,115,11.84
849,SavannaDrag 4,25,115,5.44
850,GetSpeed2,12,115,9.69
851,Verification 3.9,12,114,4.13
852,Lucifer,21,114,33.89
853,ThereIsNoTruth,15,114,27.99
854,Day Two,15,114,28.27
855,Jungledread,21,113,78.89
856,Fly to the Legends,20,113,40.67
857,GLL,12,112,3.3
858,The Way to the Hell,24,112,117.8
859,Dead Darkness,24,111,19.26
860,Disco,24,110,54.18
861,Hardcore 8,24,110,39.51
862,Dark Descent,27,110,185.82
863,Hermit,12,110,2.22
864,Imagination,12,109,18.7
865,Spiders,12,109,5.19
866,Interlude 2,24,108,75.82
867,Kassin,21,108,41.04
868,Enchanted,21,108,109.44
869,DuNoMa,20,108,15.11
870,EaSy_HarD 4,18,108,37.99
871,superway,24,107,81.18
872,Analyzer,30,107,41.12
873,Agony,27,107,123.96
874,Narcissistic,24,107,9.67
875,Apathy,27,106,91.68
876,Mystic River,24,106,42.57
877,run_blood_thirst,8,105,30.88
878,Deadline 2,16,104,39.6
879,The Cursed Night,27,104,130.18
880,The Fusion,27,104,25.32
881,The Dream,24,104,36.68
882,Stop Over 3.0,8,104,0.4
883,Thomas,12,103,2.38
884,run_get50,8,103,74.64
885,Verification 3.7,12,103,2.08
886,Verification 6.2,12,103,1.6
887,Kovcheg,12,103,65.6
888,Aurora,25,102,16.96
889,Reason,27,101,35.52
890,Furypleasure,21,101,8.98
891,Victory 5,24,100,67.91
892,Nightmare,16,100,88.98
893,Space Climb,16,99,7.4
894,run_three,8,98,12.94
895,Mystical Island,24,98,106.02
896,ZooDrag,25,98,12.28
897,run_hard_hell,8,97,60.37
898,JustGeneric,27,97,24.5
899,Repentance,20,97,10.98
900,Momentum,20,97,1.47
901,Adrenaline 3,20,96,116.33
902,Best Of,20,96,47.4
903,Therapy,20,96,132.84
904,DarkEagle,12,96,5.28
905,A Strange Dream,21,96,44.37
906,FLAP,18,95,54.43
907,Masquerade,16,95,113.78
908,DeadCore 2,24,94,68.44
909,Adrenaline 2,27,94,89.2
910,Difficult 1.3,20,92,83.15
911,Mines of Fear,21,92,30.35
912,Noh,16,92,2.82
913,Cave Fly,16,92,21.57
914,Embrace,16,92,24.0
915,Uncharted,24,91,31.06
916,Tropical Island,24,91,79.96
917,Yee,25,91,36.53
918,Where am I,12,91,1.99
919,Sparadrap,8,91,3.47
920,Chaos 1,16,90,49.12
921,Triplecan,16,90,3.51
922,The Rapture,30,90,133.0
923,Flamara,12,90,7.76
924,4s,30,87,77.95
925,Natura,20,86,67.12
926,To the moon,24,86,3.93
927,Nyanpasu,21,86,34.32
928,Childs Play 1,21,86,60.81
929,Espace,24,86,70.57
930,-SKY IVLAND-,21,85,115.81
931,SolarStrike,24,84,37.83
932,Winter Is Coming,27,84,117.01
933,Regen 3,27,84,72.31
934,GenericDrag,25,84,4.23
935,Shotsky,12,84,2.26
936,The Joke 3,21,84,72.88
937,nora,25,84,4.37
938,Stereotype 1,18,83,54.41
939,Shock Value,21,83,23.05
940,Lawrence,16,82,26.19
941,Generic World,34,82,392.32
942,Intercepter,18,82,98.48
943,Hardstyle 3,24,81,61.84
944,Goldfield,27,81,37.57
945,Moonstone,21,81,19.35
946,Day 'n' Night,27,81,69.78
947,Kabarda,21,81,29.0
948,Desert Mine,12,80,3.84
949,Loopie,8,80,1.43
950,Lil Jungle,24,79,7.64
951,DarkSpy,30,79,21.49
952,Ulver,20,79,23.69
953,Jailbreak 6,18,78,33.35
954,Aufnahmetest 3,12,78,2.31
955,brainduck,21,78,47.51
956,Difficult 2.3,20,77,91.91
957,Ecstasy,27,77,79.78
958,Apex2,21,77,30.63
959,Poke,16,77,13.79
960,Ultranova,27,77,78.67
961,Skill Rises,27,76,65.73
962,New World,24,76,50.25
963,Castoreum,12,76,42.73
964,Pink Destiny,24,75,5.08
965,Fiasko,27,74,52.88
966,Skywalk,24,74,74.41
967,Stones,21,74,62.33
968,Insane 2,20,73,82.01
969,Agile,12,73,1.01
970,combo II,12,73,2.92
971,Deserted,27,72,37.38
972,#MegaRosenkohl,20,72,61.57
973,Run into the light,24,72,12.21
974,Cosyris,24,72,81.15
975,Regen,24,71,53.54
976,TheWalkingDead,20,71,47.65
977,Genericore 6,34,71,57.66
978,Grind,16,71,14.82
979,Alone Together 1.0,24,69,28.41
980,Microlity,16,69,7.46
981,Venture 2,27,69,7.87
982,LowPossibility3.1,20,69,98.03
983,Enormous,16,69,3.45
984,DarkCore 4,24,68,24.49
985,Fade,24,68,38.89
986,Eternity,16,68,4.98
987,Interlude,24,67,112.02
988,Atomic,30,67,117.33
989,Eclipse,20,67,50.62
990,HardcoreZ,20,67,96.02
991,Last Chance,18,67,62.3
992,Quick,8,67,2.95
993,Nincorn,20,67,11.61
994,Back in Time 2,42,67,187.03
995,Skychase 2,20,67,17.29
996,Delirious,30,66,148.0
997,Eruption,12,66,29.52
998,4u,42,66,305.72
999,Elitist,24,65,60.86
1000,Divergence,24,65,84.11
1001,City of Death,24,65,59.92
1002,Verification 3.6,16,65,4.03
1003,Handifly,30,65,57.01
1004,Shockwave,34,65,134.86
1005,Jelly,20,65,7.79
1006,Red Hell,20,64,70.06
1007,likeOldschool,30,64,19.21
1008,Atmosphere,12,64,5.09
1009,run_shutter,8,64,31.39
1010,Verification 9.1,16,63,2.03
1011,Canyon,12,63,12.51
1012,Adragaline,30,62,3.41
1013,run_2rocketstwo,10,62,9.86
1014,Lamb,16,61,8.89
1015,Aimazing,34,61,87.26
1016,DarkWorld,25,61,11.96
1017,Victory 2,24,60,59.03
1018,Dark Side,27,60,30.28
1019,Honkstar,16,60,13.96
1020,AIB Quest 4,12,60,6.91
1021,Unbalanced,21,60,42.28
1022,Mirai,30,59,36.67
1023,Inspire,20,59,58.51
1024,Justice,34,58,86.27
1025,Baguette,24,58,94.63
1026,Generic Hell 2,30,58,159.84
1027,Sunburst2,16,58,2.27
1028,Ton,34,58,37.97
1029,Rocky Horror Fly,27,58,4.66
1030,DeadCore 1,24,57,81.15
1031,Fahrenheit,24,57,48.75
1032,Tatooine,30,57,130.22
1033,Injection 3,30,57,42.34
1034,Fever,21,56,36.49
1035,miA,30,56,3.97
1036,supernice,20,55,104.85
1037,Failable,27,55,32.36
1038,Rampage,16,54,34.57
1039,Heartcore,42,54,55.72
1040,Is it Real,27,53,61.27
1041,Sequite,24,53,9.28
1042,Damage,24,51,80.66
1043,Victory 3,24,51,55.45
1044,Adrenaline 4.1,34,51,86.4
1045,HellCore,38,50,86.0
1046,First Try,27,49,6.32
1047,Triple Kill,24,49,60.97
1048,Birinci,16,48,10.58
1049,HyperEdge,16,48,2.08
1050,New Generation,38,48,132.83
1051,Inception,24,47,100.44
1052,Yo'Ci,34,47,43.73
1053,Synesthesia,27,47,51.95
1054,Madrigal,21,47,21.66
1055,Pharoah,16,46,5.27
1056,Shortgun,16,46,2.97
1057,Undisclosed,21,45,18.81
1058,4q,34,45,79.38
1059,Punica,21,45,42.74
1060,ChillDontKill,24,45,68.67
1061,Blue,18,45,53.99
1062,whitehell,30,44,97.04
1063,Stay Alive,30,44,8.9
1064,Looney [Extreme],24,44,3.87
1065,Stop Over 2.0,12,44,0.93
1066,BrokeysChallenge,16,43,5.75
1067,Insane 3,20,43,59.18
1068,Kickout,24,43,64.66
1069,Eclipsis,30,42,110.6
1070,Striped Clouds,30,41,202.25
1071,Yumizo,24,41,20.8
1072,Between the Heavens,30,40,82.78
1073,Adrenaline 4.2,34,40,155.75
1074,Adragaline 2,30,40,4.08
1075,run_grass_hell,10,40,59.09
1076,Hostile,27,40,4.26
1077,Nightstar,24,40,52.93
1078,Stereotype 4,30,39,107.27
1079,Sperance,27,39,45.62
1080,Generic Fly,24,39,4.7
1081,Nightstar 2,24,39,32.22
1082,kipling,12,39,2.44
1083,Springlobe 3,34,39,253.15
1084,Honkstar 2,16,38,10.11
1085,Airsky,30,37,6.29
1086,HearTbeaT,20,37,60.76
1087,brainduck2,24,37,115.18
1088,Redefined,24,37,51.15
1089,Triplecan 2,20,36,3.28
1090,External 2,30,36,33.86
1091,Justice 2,42,36,148.75
1092,The Enchanted Clearing,34,36,36.18
1093,Hitode,16,36,2.14
1094,Mina,20,36,2.0
1095,Verification 9.0,16,35,2.39
1096,Regen 2,34,35,71.7
1097,Space Rate,30,35,24.23
1098,Nentori,25,35,4.68
1099,Road to Rank 1,24,35,38.36
1100,Stereotype 3,30,34,103.29
1101,nemesis,24,34,55.8
1102,nameless_run,10,34,83.84
1103,Unisex,30,34,17.21
1104,run_birming,10,34,27.17
1105,Yoko 4.1,27,33,37.53
1106,Sky Movement,16,33,6.9
1107,DarkSpy 2,30,33,14.93
1108,Disposition,16,33,1.5
1109,Fall into the Future,12,33,6.27
1110,DoomWorld,24,33,15.16
1111,It'sYourDeath,20,32,7.44
1112,Relief,30,32,11.47
1113,Network,16,32,9.31
1114,Complex,30,32,108.22
1115,Stereotype 5,30,31,91.65
1116,GG,21,31,4.67
1117,Cloud Dreams,16,31,10.21
1118,Honkstar 3,16,29,9.57
1119,Equity [Hard],16,29,3.34
1120,Safe Place,16,29,1.4
1121,Back in the sky,30,28,104.5
1122,Resistance,38,27,5.71
1123,Falling Down,38,26,155.56
1124,AnotherEra,24,26,45.9
1125,Genericore 8,38,26,153.12
1126,LichKing,30,26,274.6
1127,Firestone,38,25,9.96
1128,Cequals3,12,25,1.01
1129,Stereotype 2,30,24,143.76
1130,Aimlicious,42,24,104.13
1131,Nalar,30,24,18.58
1132,Equivalent Exchange,25,24,5.74
1133,Sooth,30,24,47.45
1134,Animus,24,23,30.45
1135,Tatooine 2,42,23,208.26
1136,run_world_war_zero,10,23,230.06
1137,Not Adrenaline 6,24,23,81.78
1138,w3na,24,23,16.39
1139,Adrenaline 5,42,22,109.73
1140,Caverun,20,22,11.51
1141,Rush Clouds,16,22,1.31
1142,Hostile 2,30,21,4.44
1143,Lifture,16,21,17.69
1144,Jazz Hands 2,25,21,26.9
1145,Relentless,30,20,3.8
1146,Exhale,24,20,23.34
1147,Speedfly,30,19,5.93
1148,Panic Paradise,24,19,12.58
1149,Equivalent Exchange 2,25,19,4.13
1150,Commandont,21,18,4.92
1151,Epinephrine,30,14,6.56
1152,Adrenaline 4,50,13,331.0
1153,Ghoul,42,12,36.77
1154,Rush Clouds 2,16,12,1.12
1155,run_antibuguse,10,8,519.73
1156,Nether,34,6,42.11
1157,Grim Reaper,50,6,29.64
1158,Squadron,30,6,13.13
1159,Airnade Ultra,20,5,252.77
1160,Heartcore II,50,4,68.99
1161,Memento mori,20,1,10.42
